Chamika Karunaratne,623695,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
,370040,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
,1138316,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
,1210293,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
,324358,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
Shai Hope,581379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Justin Greaves,510823,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Nicholas Pooran,604302,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Shamarh Brooks,230555,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Roston Chase,391832,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Kieron Pollard,230559,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Jason Holder,391485,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Romario Shepherd,677077,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
