Takudzwanashe Kaitano,493765,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Regis Chakabva,293831,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Craig Ervine,55412,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Sean Williams,55870,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Wessly Madhevere,938959,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Sikandar Raza,299572,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Ryan Burl,495964,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Wellington Masakadza,571703,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Blessing Muzarabani,827051,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Tendai Chatara,425639,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Richard Ngarava,806241,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Pathum Nissanka,1028655,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Kusal Mendis,629074,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Kamindu Mendis,784373,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Dinesh Chandimal,300628,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Charith Asalanka,784367,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Dasun Shanaka,437316,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Chamika Karunaratne,623695,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
,370040,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
,1138316,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
,1210293,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
,324358,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341
Shai Hope,581379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Justin Greaves,510823,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Nicholas Pooran,604302,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Shamarh Brooks,230555,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Roston Chase,391832,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Kieron Pollard,230559,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Jason Holder,391485,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
