Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Scorecard Link
Pakistan,Australia,Pakistan,6 wickets,Lahore,"Mar 31, 2022",4380,https://www.espncricinfo.com/series/australia-in-pakistan-2021-22-1288300/pakistan-vs-australia-2nd-odi-1288314/full-scorecard
New Zealand,Netherlands,New Zealand,118 runs,Hamilton,"Apr 2, 2022",4381,https://www.espncricinfo.com/series/netherlands-in-new-zealand-2021-22-1288970/new-zealand-vs-netherlands-2nd-odi-1288988/full-scorecard
Pakistan,Australia,Pakistan,9 wickets,Lahore,"Apr 2, 2022",4382,https://www.espncricinfo.com/series/australia-in-pakistan-2021-22-1288300/pakistan-vs-australia-3rd-odi-1288315/full-scorecard
New Zealand,Netherlands,New Zealand,115 runs,Hamilton,"Apr 4, 2022",4383,https://www.espncricinfo.com/series/netherlands-in-new-zealand-2021-22-1288970/new-zealand-vs-netherlands-3rd-odi-1288989/full-scorecard
P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),"Apr 9, 2022",4384,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/papua-new-guinea-vs-scotland-73rd-match-1308244/full-scorecard
Oman,Scotland,Scotland,4 runs,Dubai (DSC),"Apr 10, 2022",4385,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-scotland-74th-match-1308245/full-scorecard
Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),"Apr 12, 2022",4386,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-papua-new-guinea-75th-match-1308246/full-scorecard
P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),"Apr 13, 2022",4387,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/papua-new-guinea-vs-scotland-76th-match-1308247/full-scorecard
Oman,Scotland,Scotland,2 wickets,Dubai (DSC),"Apr 15, 2022",4388,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-scotland-77th-match-1308248/full-scorecard
Oman,P.N.G.,Oman,85 runs,Dubai (DSC),"Apr 16, 2022",4389,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-papua-new-guinea-78th-match-1308249/full-scorecard
U.S.A.,Scotland,U.S.A.,104 runs,Pearland,"May 28, 2022",4390,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-scotland-79th-match-1312798/full-scorecard
U.S.A.,Scotland,Scotland,111 runs,Pearland,"May 29, 2022",4391,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-scotland-80th-match-1312799/full-scorecard
Netherlands,West Indies,West Indies,7 wickets,Amstelveen,"May 31, 2022",4392,https://www.espncricinfo.com/series/west-indies-in-netherlands-2022-1302346/netherlands-vs-west-indies-1st-odi-1302349/full-scorecard
Scotland,U.A.E.,Scotland,4 wickets,Pearland,"May 31, 2022",4393,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/scotland-vs-united-arab-emirates-81st-match-1312800/full-scorecard
U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,"Jun 1, 2022",4394,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-united-arab-emirates-82nd-match-1312801/full-scorecard
Netherlands,West Indies,West Indies,5 wickets,Amstelveen,"Jun 2, 2022",4395,https://www.espncricinfo.com/series/west-indies-in-netherlands-2022-1302346/netherlands-vs-west-indies-2nd-odi-1302350/full-scorecard
Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,"Jun 3, 2022",4396,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/scotland-vs-united-arab-emirates-83rd-match-1312802/full-scorecard
Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,"Jun 4, 2022",4397,https://www.espncricinfo.com/series/afghanistan-in-zimbabwe-2022-1310918/zimbabwe-vs-afghanistan-1st-odi-1310943/full-scorecard
Netherlands,West Indies,West Indies,20 runs,Amstelveen,"Jun 4, 2022",4398,https://www.espncricinfo.com/series/west-indies-in-netherlands-2022-1302346/netherlands-vs-west-indies-3rd-odi-1302351/full-scorecard
U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,"Jun 4, 2022",4399,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-united-arab-emirates-84th-match-1312803/full-scorecard
Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,"Jun 6, 2022",4400,https://www.espncricinfo.com/series/afghanistan-in-zimbabwe-2022-1310918/zimbabwe-vs-afghanistan-2nd-odi-1310944/full-scorecard
Pakistan,West Indies,Pakistan,5 wickets,Multan,"Jun 8, 2022",4401,https://www.espncricinfo.com/series/west-indies-in-pakistan-2022-1314914/pakistan-vs-west-indies-1st-odi-1315038/full-scorecard
U.S.A.,Oman,U.S.A.,114 runs,Pearland,"Jun 8, 2022",4402,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-oman-85th-match-1312804/full-scorecard
Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,"Jun 9, 2022",4403,https://www.espncricinfo.com/series/afghanistan-in-zimbabwe-2022-1310918/zimbabwe-vs-afghanistan-3rd-odi-1310945/full-scorecard
Nepal,Oman,Oman,13 runs,Pearland,"Jun 9, 2022",4404,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/nepal-vs-oman-86th-match-1312805/full-scorecard
